,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
20790,2021-05-04,Suffolk,Chelsea,0-19 Years,9581.0,740.0,276.0,,,464.0
20791,2021-05-04,Suffolk,Chelsea,20-29 Years,6170.0,3004.0,1725.0,,,1279.0
20792,2021-05-04,Suffolk,Chelsea,30-49 Years,11744.0,7745.0,4647.0,,,3098.0
20793,2021-05-04,Suffolk,Chelsea,50-64 Years,5861.0,4923.0,3480.0,,,1443.0
20794,2021-05-04,Suffolk,Chelsea,65-74 Years,2092.0,1929.0,1683.0,,,246.0
20795,2021-05-04,Suffolk,Chelsea,75+ Years,1471.0,1332.0,1177.0,,,155.0
20796,2021-05-04,Suffolk,Chelsea,Total,36918.0,19673.0,12988.0,,,6685.0
23149,2021-05-11,Suffolk,Chelsea,0-19 Years,9581.0,860.0,418.0,,,442.0
23150,2021-05-11,Suffolk,Chelsea,20-29 Years,6170.0,3277.0,2152.0,,,1125.0
23151,2021-05-11,Suffolk,Chelsea,30-49 Years,11744.0,8318.0,5783.0,,,2535.0
23152,2021-05-11,Suffolk,Chelsea,50-64 Years,5861.0,5116.0,4043.0,,,1073.0
23153,2021-05-11,Suffolk,Chelsea,65-74 Years,2092.0,1965.0,1753.0,,,212.0
23154,2021-05-11,Suffolk,Chelsea,75+ Years,1471.0,1343.0,1190.0,,,153.0
23155,2021-05-11,Suffolk,Chelsea,Total,36918.0,20879.0,15339.0,,,5540.0
25782,2021-05-18,Suffolk,Chelsea,12-15 Years,1768.0,231.0,,,,231.0
25783,2021-05-18,Suffolk,Chelsea,16-19 Years,1762.0,1013.0,587.0,,,426.0
25784,2021-05-18,Suffolk,Chelsea,20-29 Years,6170.0,3601.0,2422.0,,,1179.0
25785,2021-05-18,Suffolk,Chelsea,30-49 Years,11744.0,9030.0,6530.0,,,2500.0
25786,2021-05-18,Suffolk,Chelsea,50-64 Years,5861.0,5371.0,4354.0,,,1017.0
25787,2021-05-18,Suffolk,Chelsea,65-74 Years,2092.0,2012.0,1783.0,,,229.0
25788,2021-05-18,Suffolk,Chelsea,75+ Years,1471.0,1362.0,1202.0,,,160.0
25789,2021-05-18,Suffolk,Chelsea,Total,36918.0,22621.0,,,,5743.0
28470,2021-05-25,Suffolk,Chelsea,12-15 Years,1768.0,551.0,,,,549.0
28471,2021-05-25,Suffolk,Chelsea,16-19 Years,1762.0,1133.0,670.0,,,463.0
28472,2021-05-25,Suffolk,Chelsea,20-29 Years,6170.0,3814.0,2664.0,,,1150.0
28473,2021-05-25,Suffolk,Chelsea,30-49 Years,11744.0,9522.0,6999.0,,,2523.0
28474,2021-05-25,Suffolk,Chelsea,50-64 Years,5861.0,5510.0,4538.0,,,972.0
28475,2021-05-25,Suffolk,Chelsea,65-74 Years,2092.0,2032.0,1812.0,,,220.0
28476,2021-05-25,Suffolk,Chelsea,75+ Years,1471.0,1371.0,1217.0,,,154.0
28477,2021-05-25,Suffolk,Chelsea,Total,36918.0,23934.0,,,,6032.0
31166,2021-06-01,Suffolk,Chelsea,12-15 Years,1768.0,681.0,,,,678.0
31167,2021-06-01,Suffolk,Chelsea,16-19 Years,1762.0,1213.0,778.0,,,435.0
31168,2021-06-01,Suffolk,Chelsea,20-29 Years,6170.0,4019.0,2944.0,,,1075.0
31169,2021-06-01,Suffolk,Chelsea,30-49 Years,11744.0,9905.0,7547.0,,,2358.0
31170,2021-06-01,Suffolk,Chelsea,50-64 Years,5861.0,5628.0,4725.0,,,903.0
31171,2021-06-01,Suffolk,Chelsea,65-74 Years,2092.0,2046.0,1844.0,,,202.0
31172,2021-06-01,Suffolk,Chelsea,75+ Years,1471.0,1381.0,1238.0,,,143.0
31173,2021-06-01,Suffolk,Chelsea,Total,36918.0,24874.0,,,,5795.0
33862,2021-06-08,Suffolk,Chelsea,12-15 Years,1768.0,810.0,205.0,,,605.0
33863,2021-06-08,Suffolk,Chelsea,16-19 Years,1762.0,1307.0,897.0,,,410.0
33864,2021-06-08,Suffolk,Chelsea,20-29 Years,6170.0,4227.0,3207.0,,,1020.0
33865,2021-06-08,Suffolk,Chelsea,30-49 Years,11744.0,10289.0,8134.0,,,2155.0
33866,2021-06-08,Suffolk,Chelsea,50-64 Years,5861.0,5753.0,4922.0,,,831.0
33867,2021-06-08,Suffolk,Chelsea,65-74 Years,2092.0,2060.0,1891.0,,,169.0
33868,2021-06-08,Suffolk,Chelsea,75+ Years,1471.0,1398.0,1250.0,,,148.0
33869,2021-06-08,Suffolk,Chelsea,Total,36918.0,25845.0,20506.0,,,5339.0
36558,2021-06-15,Suffolk,Chelsea,12-15 Years,1768.0,940.0,523.0,,,417.0
36559,2021-06-15,Suffolk,Chelsea,16-19 Years,1762.0,1378.0,1020.0,,,358.0
36560,2021-06-15,Suffolk,Chelsea,20-29 Years,6170.0,4354.0,3419.0,,,935.0
36561,2021-06-15,Suffolk,Chelsea,30-49 Years,11744.0,10514.0,8630.0,,,1884.0
36562,2021-06-15,Suffolk,Chelsea,50-64 Years,5861.0,5835.0,5070.0,,,765.0
36563,2021-06-15,Suffolk,Chelsea,65-74 Years,2092.0,2077.0,1911.0,,,166.0
36564,2021-06-15,Suffolk,Chelsea,75+ Years,1471.0,1407.0,1257.0,,,150.0
36565,2021-06-15,Suffolk,Chelsea,Total,36918.0,26506.0,21830.0,,,4676.0
39254,2021-06-22,Suffolk,Chelsea,12-15 Years,1768.0,1001.0,663.0,,,338.0
39255,2021-06-22,Suffolk,Chelsea,16-19 Years,1762.0,1422.0,1090.0,,,332.0
39256,2021-06-22,Suffolk,Chelsea,20-29 Years,6170.0,4459.0,3586.0,,,873.0
39257,2021-06-22,Suffolk,Chelsea,30-49 Years,11744.0,10684.0,8921.0,,,1763.0
39258,2021-06-22,Suffolk,Chelsea,50-64 Years,5861.0,5875.0,5160.0,,,715.0
39259,2021-06-22,Suffolk,Chelsea,65-74 Years,2092.0,2079.0,1920.0,,,159.0
39260,2021-06-22,Suffolk,Chelsea,75+ Years,1471.0,1409.0,1258.0,,,151.0
39261,2021-06-22,Suffolk,Chelsea,Total,36918.0,26930.0,22598.0,,,4332.0
41950,2021-06-29,Suffolk,Chelsea,12-15 Years,1768.0,1058.0,765.0,,,293.0
41951,2021-06-29,Suffolk,Chelsea,16-19 Years,1762.0,1448.0,1140.0,,,308.0
41952,2021-06-29,Suffolk,Chelsea,20-29 Years,6170.0,4545.0,3723.0,,,822.0
41953,2021-06-29,Suffolk,Chelsea,30-49 Years,11744.0,10815.0,9155.0,,,1660.0
41954,2021-06-29,Suffolk,Chelsea,50-64 Years,5861.0,5922.0,5229.0,,,693.0
41955,2021-06-29,Suffolk,Chelsea,65-74 Years,2092.0,2086.0,1931.0,,,155.0
41956,2021-06-29,Suffolk,Chelsea,75+ Years,1471.0,1413.0,1263.0,,,150.0
41957,2021-06-29,Suffolk,Chelsea,Total,36918.0,27288.0,23206.0,,,4082.0
44646,2021-07-06,Suffolk,Chelsea,12-15 Years,1768.0,1092.0,821.0,,,271.0
44647,2021-07-06,Suffolk,Chelsea,16-19 Years,1762.0,1469.0,1171.0,,,298.0
44648,2021-07-06,Suffolk,Chelsea,20-29 Years,6170.0,4614.0,3805.0,,,809.0
44649,2021-07-06,Suffolk,Chelsea,30-49 Years,11744.0,10910.0,9278.0,,,1632.0
44650,2021-07-06,Suffolk,Chelsea,50-64 Years,5861.0,5949.0,5267.0,,,682.0
44651,2021-07-06,Suffolk,Chelsea,65-74 Years,2092.0,2093.0,1940.0,,,153.0
44652,2021-07-06,Suffolk,Chelsea,75+ Years,1471.0,1415.0,1266.0,,,149.0
44653,2021-07-06,Suffolk,Chelsea,Total,36918.0,27543.0,23548.0,,,3995.0
47342,2021-07-13,Suffolk,Chelsea,12-15 Years,1768.0,1146.0,894.0,,,252.0
47343,2021-07-13,Suffolk,Chelsea,16-19 Years,1762.0,1498.0,1209.0,,,289.0
47344,2021-07-13,Suffolk,Chelsea,20-29 Years,6170.0,4677.0,3872.0,,,805.0
47345,2021-07-13,Suffolk,Chelsea,30-49 Years,11744.0,11013.0,9409.0,,,1604.0
47346,2021-07-13,Suffolk,Chelsea,50-64 Years,5861.0,5980.0,5309.0,,,671.0
47347,2021-07-13,Suffolk,Chelsea,65-74 Years,2092.0,2108.0,1949.0,,,159.0
47348,2021-07-13,Suffolk,Chelsea,75+ Years,1471.0,1425.0,1271.0,,,154.0
