,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
78282,2021-08-31,Suffolk,Revere,AI/AN,55.0,46.0,41.0,,,
78283,2021-08-31,Suffolk,Revere,Asian,3428.0,2504.0,2320.0,,,184.0
78284,2021-08-31,Suffolk,Revere,Black,3713.0,1922.0,1679.0,,,243.0
78285,2021-08-31,Suffolk,Revere,Hispanic,24756.0,15348.0,13518.0,,,1830.0
78286,2021-08-31,Suffolk,Revere,Multi,582.0,728.0,680.0,,,48.0
78287,2021-08-31,Suffolk,Revere,NH/PI,11.0,48.0,45.0,,,
78288,2021-08-31,Suffolk,Revere,White,28857.0,18711.0,17050.0,,,1661.0
78289,2021-08-31,Suffolk,Revere,Other/Unknown,,5154.0,4022.0,,,1132.0
78290,2021-08-31,Suffolk,Revere,Total,60849.0,44461.0,39355.0,,,
81315,2021-09-07,Suffolk,Revere,AI/AN,55.0,47.0,41.0,,,
81316,2021-09-07,Suffolk,Revere,Asian,3428.0,2519.0,2335.0,,,184.0
81317,2021-09-07,Suffolk,Revere,Black,3713.0,1944.0,1699.0,,,245.0
81318,2021-09-07,Suffolk,Revere,Hispanic,24756.0,15457.0,13675.0,,,1782.0
81319,2021-09-07,Suffolk,Revere,Multi,582.0,744.0,686.0,,,58.0
81320,2021-09-07,Suffolk,Revere,NH/PI,11.0,48.0,45.0,,,
81321,2021-09-07,Suffolk,Revere,White,28857.0,18836.0,17172.0,,,1664.0
81322,2021-09-07,Suffolk,Revere,Other/Unknown,,5160.0,4038.0,,,1122.0
81323,2021-09-07,Suffolk,Revere,Total,60849.0,44755.0,39691.0,,,
84348,2021-09-14,Suffolk,Revere,AI/AN,55.0,50.0,42.0,,,
84349,2021-09-14,Suffolk,Revere,Asian,3428.0,2521.0,2340.0,,,181.0
84350,2021-09-14,Suffolk,Revere,Black,3713.0,1976.0,1735.0,,,241.0
84351,2021-09-14,Suffolk,Revere,Hispanic,24756.0,15584.0,13834.0,,,1750.0
84352,2021-09-14,Suffolk,Revere,Multi,582.0,760.0,696.0,,,64.0
84353,2021-09-14,Suffolk,Revere,NH/PI,11.0,50.0,44.0,,,
84354,2021-09-14,Suffolk,Revere,White,28857.0,18941.0,17294.0,,,1647.0
84355,2021-09-14,Suffolk,Revere,Other/Unknown,,5184.0,4062.0,,,1122.0
84356,2021-09-14,Suffolk,Revere,Total,60849.0,45066.0,40047.0,,,
87381,2021-09-21,Suffolk,Revere,AI/AN,55.0,49.0,42.0,,,
87382,2021-09-21,Suffolk,Revere,Asian,3428.0,2534.0,2357.0,,,177.0
87383,2021-09-21,Suffolk,Revere,Black,3713.0,2006.0,1757.0,,,249.0
87384,2021-09-21,Suffolk,Revere,Hispanic,24756.0,15739.0,13989.0,,,1750.0
87385,2021-09-21,Suffolk,Revere,Multi,582.0,776.0,713.0,,,63.0
87386,2021-09-21,Suffolk,Revere,NH/PI,11.0,49.0,43.0,,,
87387,2021-09-21,Suffolk,Revere,White,28857.0,19058.0,17434.0,,,1624.0
87388,2021-09-21,Suffolk,Revere,Other/Unknown,,5178.0,4058.0,,,1120.0
87389,2021-09-21,Suffolk,Revere,Total,60849.0,45389.0,40393.0,,,
90414,2021-09-28,Suffolk,Revere,AI/AN,55.0,49.0,43.0,,,
