,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
163207,2022-03-15,Suffolk,Revere,Asian,3428.0,3011.0,2641.0,1405.0,,370.0
163208,2022-03-15,Suffolk,Revere,Black,3713.0,2404.0,2130.0,890.0,,274.0
163209,2022-03-15,Suffolk,Revere,Hispanic,24756.0,20053.0,17025.0,6214.0,,3028.0
163210,2022-03-15,Suffolk,Revere,Multi,582.0,1242.0,1168.0,628.0,,74.0
163211,2022-03-15,Suffolk,Revere,NH/PI,11.0,,,,,
163212,2022-03-15,Suffolk,Revere,White,28857.0,21831.0,19726.0,10456.0,,2105.0
163213,2022-03-15,Suffolk,Revere,Other/Unknown,,5266.0,3687.0,,,1579.0
163214,2022-03-15,Suffolk,Revere,Total,60849.0,,,,,
166239,2022-03-22,Suffolk,Revere,AI/AN,55.0,56.0,48.0,15.0,,8.0
166240,2022-03-22,Suffolk,Revere,Asian,3428.0,3012.0,2641.0,1416.0,,371.0
166241,2022-03-22,Suffolk,Revere,Black,3713.0,2411.0,2141.0,904.0,,270.0
166242,2022-03-22,Suffolk,Revere,Hispanic,24756.0,20092.0,17068.0,6300.0,,3024.0
166243,2022-03-22,Suffolk,Revere,Multi,582.0,1246.0,1173.0,634.0,,73.0
166244,2022-03-22,Suffolk,Revere,NH/PI,11.0,,,,,
166245,2022-03-22,Suffolk,Revere,White,28857.0,21865.0,19755.0,10539.0,,2110.0
166246,2022-03-22,Suffolk,Revere,Other/Unknown,,5260.0,3685.0,,,1575.0
166247,2022-03-22,Suffolk,Revere,Total,60849.0,,,,,
169272,2022-03-29,Suffolk,Revere,AI/AN,55.0,56.0,48.0,15.0,,8.0
169273,2022-03-29,Suffolk,Revere,Asian,3428.0,3011.0,2643.0,1429.0,,368.0
169274,2022-03-29,Suffolk,Revere,Black,3713.0,2417.0,2145.0,922.0,,272.0
169275,2022-03-29,Suffolk,Revere,Hispanic,24756.0,20127.0,17104.0,6392.0,,3023.0
169276,2022-03-29,Suffolk,Revere,Multi,582.0,1250.0,1181.0,638.0,,69.0
169277,2022-03-29,Suffolk,Revere,NH/PI,11.0,,,,,
169278,2022-03-29,Suffolk,Revere,White,28857.0,21871.0,19784.0,10633.0,,2087.0
169279,2022-03-29,Suffolk,Revere,Other/Unknown,,5264.0,3691.0,,,1573.0
169280,2022-03-29,Suffolk,Revere,Total,60849.0,,,,,
172305,2022-04-05,Suffolk,Revere,AI/AN,55.0,57.0,48.0,15.0,,9.0
172306,2022-04-05,Suffolk,Revere,Asian,3428.0,3014.0,2651.0,1443.0,,363.0
172307,2022-04-05,Suffolk,Revere,Black,3713.0,2428.0,2148.0,931.0,,280.0
172308,2022-04-05,Suffolk,Revere,Hispanic,24756.0,20146.0,17126.0,6461.0,,3020.0
172309,2022-04-05,Suffolk,Revere,Multi,582.0,1253.0,1185.0,643.0,,68.0
172310,2022-04-05,Suffolk,Revere,NH/PI,11.0,,,,,
172311,2022-04-05,Suffolk,Revere,White,28857.0,21889.0,19794.0,10679.0,,2095.0
172312,2022-04-05,Suffolk,Revere,Other/Unknown,,5282.0,3701.0,,,1581.0
172313,2022-04-05,Suffolk,Revere,Total,60849.0,,,,,
175338,2022-04-12,Suffolk,Revere,AI/AN,55.0,56.0,48.0,15.0,,8.0
175339,2022-04-12,Suffolk,Revere,Asian,3428.0,3012.0,2651.0,1449.0,,361.0
175340,2022-04-12,Suffolk,Revere,Black,3713.0,2443.0,2160.0,950.0,,283.0
175341,2022-04-12,Suffolk,Revere,Hispanic,24756.0,20193.0,17147.0,6520.0,,3046.0
175342,2022-04-12,Suffolk,Revere,Multi,582.0,1259.0,1191.0,653.0,,68.0
175343,2022-04-12,Suffolk,Revere,NH/PI,11.0,,,,,
175344,2022-04-12,Suffolk,Revere,White,28857.0,21890.0,19810.0,10761.0,,2080.0
175345,2022-04-12,Suffolk,Revere,Other/Unknown,,5290.0,3708.0,,,1582.0
175346,2022-04-12,Suffolk,Revere,Total,60849.0,,,,,
178371,2022-04-19,Suffolk,Revere,AI/AN,55.0,54.0,45.0,14.0,,9.0
178372,2022-04-19,Suffolk,Revere,Asian,3428.0,3009.0,2653.0,1454.0,,356.0
178373,2022-04-19,Suffolk,Revere,Black,3713.0,2445.0,2162.0,963.0,,283.0
178374,2022-04-19,Suffolk,Revere,Hispanic,24756.0,20220.0,17180.0,6578.0,,3040.0
178375,2022-04-19,Suffolk,Revere,Multi,582.0,1263.0,1196.0,657.0,,67.0
178376,2022-04-19,Suffolk,Revere,NH/PI,11.0,,,,,
178377,2022-04-19,Suffolk,Revere,White,28857.0,21901.0,19828.0,10822.0,,2073.0
178378,2022-04-19,Suffolk,Revere,Other/Unknown,,5279.0,3711.0,,,1568.0
178379,2022-04-19,Suffolk,Revere,Total,60849.0,,,,,
181404,2022-04-26,Suffolk,Revere,AI/AN,55.0,54.0,44.0,15.0,,10.0
181405,2022-04-26,Suffolk,Revere,Asian,3428.0,3015.0,2653.0,1468.0,,362.0
181406,2022-04-26,Suffolk,Revere,Black,3713.0,2449.0,2170.0,968.0,,279.0
181407,2022-04-26,Suffolk,Revere,Hispanic,24756.0,20241.0,17207.0,6633.0,,3034.0
181408,2022-04-26,Suffolk,Revere,Multi,582.0,1272.0,1205.0,673.0,,67.0
181409,2022-04-26,Suffolk,Revere,NH/PI,11.0,,,,,
181410,2022-04-26,Suffolk,Revere,White,28857.0,21917.0,19846.0,10897.0,,2071.0
181411,2022-04-26,Suffolk,Revere,Other/Unknown,,5281.0,3705.0,,,1576.0
181412,2022-04-26,Suffolk,Revere,Total,60849.0,,,,,
184437,2022-05-03,Suffolk,Revere,AI/AN,55.0,55.0,45.0,15.0,,10.0
184438,2022-05-03,Suffolk,Revere,Asian,3428.0,3022.0,2652.0,1470.0,,370.0
184439,2022-05-03,Suffolk,Revere,Black,3713.0,2451.0,2170.0,971.0,,281.0
184440,2022-05-03,Suffolk,Revere,Hispanic,24756.0,20264.0,17228.0,6691.0,,3036.0
184441,2022-05-03,Suffolk,Revere,Multi,582.0,1274.0,1206.0,681.0,,68.0
184442,2022-05-03,Suffolk,Revere,NH/PI,11.0,,,,,
184443,2022-05-03,Suffolk,Revere,White,28857.0,21943.0,19860.0,10945.0,,2083.0
184444,2022-05-03,Suffolk,Revere,Other/Unknown,,5286.0,3712.0,,,1574.0
184445,2022-05-03,Suffolk,Revere,Total,60849.0,,,,,
187470,2022-05-10,Suffolk,Revere,AI/AN,55.0,55.0,45.0,15.0,,10.0
187471,2022-05-10,Suffolk,Revere,Asian,3428.0,3029.0,2652.0,1476.0,,377.0
187472,2022-05-10,Suffolk,Revere,Black,3713.0,2450.0,2169.0,980.0,,281.0
187473,2022-05-10,Suffolk,Revere,Hispanic,24756.0,20305.0,17258.0,6749.0,,3047.0
187474,2022-05-10,Suffolk,Revere,Multi,582.0,1279.0,1208.0,686.0,,71.0
187475,2022-05-10,Suffolk,Revere,NH/PI,11.0,,,,,
187476,2022-05-10,Suffolk,Revere,White,28857.0,21962.0,19886.0,10993.0,,2076.0
187477,2022-05-10,Suffolk,Revere,Other/Unknown,,5291.0,3711.0,,,1580.0
187478,2022-05-10,Suffolk,Revere,Total,60849.0,,,,,
190503,2022-05-17,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
190504,2022-05-17,Suffolk,Revere,Asian,3428.0,3035.0,2654.0,1480.0,,381.0
190505,2022-05-17,Suffolk,Revere,Black,3713.0,2463.0,2177.0,987.0,,286.0
190506,2022-05-17,Suffolk,Revere,Hispanic,24756.0,20337.0,17276.0,6809.0,,3061.0
190507,2022-05-17,Suffolk,Revere,Multi,582.0,1284.0,1212.0,693.0,,72.0
190508,2022-05-17,Suffolk,Revere,NH/PI,11.0,,,,,
190509,2022-05-17,Suffolk,Revere,White,28857.0,22044.0,19915.0,11053.0,,2129.0
190510,2022-05-17,Suffolk,Revere,Other/Unknown,,5291.0,3708.0,,,1583.0
190511,2022-05-17,Suffolk,Revere,Total,60849.0,,,,,
193536,2022-05-24,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
193537,2022-05-24,Suffolk,Revere,Asian,3428.0,3046.0,2663.0,1487.0,,383.0
193538,2022-05-24,Suffolk,Revere,Black,3713.0,2473.0,2185.0,1005.0,,288.0
193539,2022-05-24,Suffolk,Revere,Hispanic,24756.0,20371.0,17300.0,6877.0,,3071.0
193540,2022-05-24,Suffolk,Revere,Multi,582.0,1287.0,1216.0,700.0,,71.0
193541,2022-05-24,Suffolk,Revere,NH/PI,11.0,,,,,
193542,2022-05-24,Suffolk,Revere,White,28857.0,22117.0,19956.0,11154.0,,2161.0
193543,2022-05-24,Suffolk,Revere,Other/Unknown,,5299.0,3705.0,,,1594.0
193544,2022-05-24,Suffolk,Revere,Total,60849.0,,,,,
196569,2022-05-31,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
196570,2022-05-31,Suffolk,Revere,Asian,3428.0,3052.0,2667.0,1495.0,,385.0
196571,2022-05-31,Suffolk,Revere,Black,3713.0,2475.0,2180.0,1006.0,,295.0
196572,2022-05-31,Suffolk,Revere,Hispanic,24756.0,20422.0,17330.0,6929.0,,3092.0
196573,2022-05-31,Suffolk,Revere,Multi,582.0,1291.0,1218.0,707.0,,73.0
196574,2022-05-31,Suffolk,Revere,NH/PI,11.0,,,,,
196575,2022-05-31,Suffolk,Revere,White,28857.0,22139.0,19973.0,11218.0,,2166.0
196576,2022-05-31,Suffolk,Revere,Other/Unknown,,5293.0,3700.0,,,1593.0
196577,2022-05-31,Suffolk,Revere,Total,60849.0,,,,,
199602,2022-06-07,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
199603,2022-06-07,Suffolk,Revere,Asian,3428.0,3063.0,2672.0,1509.0,,391.0
199604,2022-06-07,Suffolk,Revere,Black,3713.0,2483.0,2186.0,1020.0,,297.0
199605,2022-06-07,Suffolk,Revere,Hispanic,24756.0,20441.0,17343.0,6993.0,,3098.0
199606,2022-06-07,Suffolk,Revere,Multi,582.0,1298.0,1225.0,722.0,,73.0
199607,2022-06-07,Suffolk,Revere,NH/PI,11.0,,,,,
199608,2022-06-07,Suffolk,Revere,White,28857.0,22157.0,19984.0,11286.0,,2173.0
199609,2022-06-07,Suffolk,Revere,Other/Unknown,,5287.0,3697.0,,,1590.0
199610,2022-06-07,Suffolk,Revere,Total,60849.0,,,,,
202635,2022-06-14,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
202636,2022-06-14,Suffolk,Revere,Asian,3428.0,3063.0,2675.0,1514.0,,388.0
202637,2022-06-14,Suffolk,Revere,Black,3713.0,2483.0,2188.0,1028.0,,295.0
202638,2022-06-14,Suffolk,Revere,Hispanic,24756.0,20457.0,17366.0,7025.0,,3091.0
202639,2022-06-14,Suffolk,Revere,Multi,582.0,1300.0,1232.0,726.0,,68.0
202640,2022-06-14,Suffolk,Revere,NH/PI,11.0,,,,,
202641,2022-06-14,Suffolk,Revere,White,28857.0,22177.0,20016.0,11362.0,,2161.0
202642,2022-06-14,Suffolk,Revere,Other/Unknown,,5286.0,3688.0,,,1598.0
202643,2022-06-14,Suffolk,Revere,Total,60849.0,,,,,
205668,2022-06-21,Suffolk,Revere,AI/AN,55.0,56.0,46.0,15.0,,10.0
205669,2022-06-21,Suffolk,Revere,Asian,3428.0,3066.0,2679.0,1521.0,,387.0
205670,2022-06-21,Suffolk,Revere,Black,3713.0,2490.0,2191.0,1032.0,,299.0
205671,2022-06-21,Suffolk,Revere,Hispanic,24756.0,20488.0,17386.0,7067.0,,3102.0
205672,2022-06-21,Suffolk,Revere,Multi,582.0,1305.0,1236.0,731.0,,69.0
205673,2022-06-21,Suffolk,Revere,NH/PI,11.0,,,,,
205674,2022-06-21,Suffolk,Revere,White,28857.0,22174.0,20017.0,11399.0,,2157.0
205675,2022-06-21,Suffolk,Revere,Other/Unknown,,5286.0,3682.0,,,1604.0
205676,2022-06-21,Suffolk,Revere,Total,60849.0,,,,,
208701,2022-06-28,Suffolk,Revere,AI/AN,55.0,57.0,47.0,16.0,,10.0
208702,2022-06-28,Suffolk,Revere,Asian,3428.0,3068.0,2682.0,1536.0,,386.0
208703,2022-06-28,Suffolk,Revere,Black,3713.0,2498.0,2196.0,1040.0,,302.0
208704,2022-06-28,Suffolk,Revere,Hispanic,24756.0,20530.0,17423.0,7132.0,,3107.0
208705,2022-06-28,Suffolk,Revere,Multi,582.0,1309.0,1240.0,736.0,,69.0
208706,2022-06-28,Suffolk,Revere,NH/PI,11.0,,,,,
208707,2022-06-28,Suffolk,Revere,White,28857.0,22174.0,20036.0,11452.0,,2138.0
208708,2022-06-28,Suffolk,Revere,Other/Unknown,,5280.0,3678.0,,,1602.0
208709,2022-06-28,Suffolk,Revere,Total,60849.0,,,,,
211734,2022-07-05,Suffolk,Revere,AI/AN,55.0,57.0,47.0,16.0,,10.0
211735,2022-07-05,Suffolk,Revere,Asian,3428.0,3077.0,2687.0,1544.0,,390.0
211736,2022-07-05,Suffolk,Revere,Black,3713.0,2503.0,2203.0,1050.0,,300.0
211737,2022-07-05,Suffolk,Revere,Hispanic,24756.0,20556.0,17439.0,7174.0,,3117.0
211738,2022-07-05,Suffolk,Revere,Multi,582.0,1312.0,1245.0,740.0,,67.0
211739,2022-07-05,Suffolk,Revere,NH/PI,11.0,,,,,
211740,2022-07-05,Suffolk,Revere,White,28857.0,22171.0,20040.0,11494.0,,2131.0
211741,2022-07-05,Suffolk,Revere,Other/Unknown,,5297.0,3685.0,,,1612.0
211742,2022-07-05,Suffolk,Revere,Total,60849.0,,,,,
214767,2022-07-12,Suffolk,Revere,AI/AN,78.0,57.0,47.0,16.0,2.0,
214768,2022-07-12,Suffolk,Revere,Asian,3539.0,3087.0,2691.0,1545.0,127.0,
214769,2022-07-12,Suffolk,Revere,Black,3732.0,2508.0,2205.0,1054.0,77.0,
214770,2022-07-12,Suffolk,Revere,Hispanic,23057.0,20580.0,17437.0,7206.0,467.0,
214771,2022-07-12,Suffolk,Revere,Multi,3084.0,1313.0,1247.0,741.0,100.0,
214772,2022-07-12,Suffolk,Revere,NH/PI,28.0,,,,,
214773,2022-07-12,Suffolk,Revere,White,28669.0,22174.0,20041.0,11533.0,2232.0,
214774,2022-07-12,Suffolk,Revere,Other/Unknown,,5311.0,3685.0,898.0,,
214775,2022-07-12,Suffolk,Revere,Total,62186.0,,,,,
217800,2022-07-19,Suffolk,Revere,AI/AN,78.0,57.0,47.0,16.0,2.0,
217801,2022-07-19,Suffolk,Revere,Asian,3539.0,3089.0,2692.0,1556.0,141.0,
217802,2022-07-19,Suffolk,Revere,Black,3732.0,2517.0,2214.0,1063.0,84.0,
217803,2022-07-19,Suffolk,Revere,Hispanic,23057.0,20601.0,17449.0,7264.0,495.0,
217804,2022-07-19,Suffolk,Revere,Multi,3084.0,1320.0,1254.0,750.0,106.0,
217805,2022-07-19,Suffolk,Revere,NH/PI,28.0,,,,,
217806,2022-07-19,Suffolk,Revere,White,28669.0,22187.0,20055.0,11589.0,2338.0,
217807,2022-07-19,Suffolk,Revere,Other/Unknown,,5308.0,3684.0,902.0,,
217808,2022-07-19,Suffolk,Revere,Total,62186.0,,,,,
220833,2022-07-26,Suffolk,Revere,AI/AN,78.0,57.0,47.0,16.0,2.0,
220834,2022-07-26,Suffolk,Revere,Asian,3539.0,3093.0,2698.0,1564.0,151.0,
220835,2022-07-26,Suffolk,Revere,Black,3732.0,2516.0,2215.0,1067.0,92.0,
220836,2022-07-26,Suffolk,Revere,Hispanic,23057.0,20662.0,17472.0,7338.0,544.0,
220837,2022-07-26,Suffolk,Revere,Multi,3084.0,1330.0,1263.0,765.0,117.0,
220838,2022-07-26,Suffolk,Revere,NH/PI,28.0,,,,,
220839,2022-07-26,Suffolk,Revere,White,28669.0,22213.0,20087.0,11639.0,2446.0,
220840,2022-07-26,Suffolk,Revere,Other/Unknown,,5316.0,3684.0,917.0,,
220841,2022-07-26,Suffolk,Revere,Total,62186.0,,,,,
223866,2022-08-02,Suffolk,Revere,AI/AN,78.0,57.0,47.0,17.0,2.0,
223867,2022-08-02,Suffolk,Revere,Asian,3539.0,3104.0,2700.0,1576.0,154.0,
223868,2022-08-02,Suffolk,Revere,Black,3732.0,2516.0,2211.0,1071.0,100.0,
223869,2022-08-02,Suffolk,Revere,Hispanic,23057.0,20708.0,17484.0,7381.0,583.0,
223870,2022-08-02,Suffolk,Revere,Multi,3084.0,1329.0,1263.0,770.0,121.0,
223871,2022-08-02,Suffolk,Revere,NH/PI,28.0,,,,,
223872,2022-08-02,Suffolk,Revere,White,28669.0,22238.0,20096.0,11685.0,2513.0,
223873,2022-08-02,Suffolk,Revere,Other/Unknown,0.0,,,,,
223874,2022-08-02,Suffolk,Revere,Total,62186.0,60669.0,51216.0,23441.0,3531.0,
226899,2022-08-09,Suffolk,Revere,AI/AN,78.0,57.0,47.0,17.0,3.0,
226900,2022-08-09,Suffolk,Revere,Asian,3539.0,3108.0,2701.0,1580.0,155.0,
226901,2022-08-09,Suffolk,Revere,Black,3732.0,2525.0,2215.0,1076.0,104.0,
226902,2022-08-09,Suffolk,Revere,Hispanic,23057.0,20744.0,17502.0,7426.0,613.0,
226903,2022-08-09,Suffolk,Revere,Multi,3084.0,1330.0,1265.0,775.0,123.0,
226904,2022-08-09,Suffolk,Revere,NH/PI,28.0,,,,,
226905,2022-08-09,Suffolk,Revere,White,28669.0,22262.0,20118.0,11719.0,2580.0,
226906,2022-08-09,Suffolk,Revere,Other/Unknown,0.0,,,,,
226907,2022-08-09,Suffolk,Revere,Total,62186.0,60747.0,51251.0,23537.0,3640.0,
229932,2022-08-16,Suffolk,Revere,AI/AN,78.0,57.0,47.0,17.0,3.0,
229933,2022-08-16,Suffolk,Revere,Asian,3539.0,3113.0,2701.0,1581.0,159.0,
229934,2022-08-16,Suffolk,Revere,Black,3732.0,2531.0,2220.0,1083.0,107.0,
229935,2022-08-16,Suffolk,Revere,Hispanic,23057.0,20785.0,17516.0,7491.0,634.0,
229936,2022-08-16,Suffolk,Revere,Multi,3084.0,1332.0,1268.0,780.0,127.0,
229937,2022-08-16,Suffolk,Revere,NH/PI,28.0,,,,,
229938,2022-08-16,Suffolk,Revere,White,28669.0,22284.0,20127.0,11750.0,2613.0,
229939,2022-08-16,Suffolk,Revere,Other/Unknown,0.0,,,,,
229940,2022-08-16,Suffolk,Revere,Total,62186.0,60823.0,51294.0,23650.0,3707.0,
232965,2022-08-23,Suffolk,Revere,AI/AN,78.0,57.0,47.0,17.0,3.0,
232966,2022-08-23,Suffolk,Revere,Asian,3539.0,3115.0,2705.0,1590.0,166.0,
232967,2022-08-23,Suffolk,Revere,Black,3732.0,2536.0,2220.0,1088.0,109.0,
232968,2022-08-23,Suffolk,Revere,Hispanic,23057.0,20807.0,17542.0,7540.0,662.0,
232969,2022-08-23,Suffolk,Revere,Multi,3084.0,1336.0,1271.0,786.0,128.0,
232970,2022-08-23,Suffolk,Revere,NH/PI,28.0,,,,,
232971,2022-08-23,Suffolk,Revere,White,28669.0,22294.0,20140.0,11786.0,2660.0,
232972,2022-08-23,Suffolk,Revere,Other/Unknown,0.0,,,,,
232973,2022-08-23,Suffolk,Revere,Total,62186.0,60876.0,51336.0,23761.0,3795.0,
235998,2022-08-30,Suffolk,Revere,AI/AN,78.0,59.0,47.0,17.0,3.0,
235999,2022-08-30,Suffolk,Revere,Asian,3539.0,3119.0,2706.0,1603.0,165.0,
236000,2022-08-30,Suffolk,Revere,Black,3732.0,2544.0,2221.0,1091.0,110.0,
236001,2022-08-30,Suffolk,Revere,Hispanic,23057.0,20832.0,17553.0,7579.0,685.0,
236002,2022-08-30,Suffolk,Revere,Multi,3084.0,1345.0,1276.0,793.0,129.0,
236003,2022-08-30,Suffolk,Revere,NH/PI,28.0,,,,,
236004,2022-08-30,Suffolk,Revere,White,28669.0,22309.0,20152.0,11814.0,2695.0,
236005,2022-08-30,Suffolk,Revere,Other/Unknown,0.0,,,,,
236006,2022-08-30,Suffolk,Revere,Total,62186.0,60977.0,51364.0,23859.0,3857.0,
239031,2022-09-06,Suffolk,Revere,AI/AN,78.0,66.0,53.0,18.0,3.0,
239032,2022-09-06,Suffolk,Revere,Asian,3539.0,3133.0,2716.0,1602.0,165.0,
239033,2022-09-06,Suffolk,Revere,Black,3732.0,2573.0,2241.0,1101.0,112.0,
239034,2022-09-06,Suffolk,Revere,Hispanic,23057.0,20921.0,17654.0,7637.0,698.0,
239035,2022-09-06,Suffolk,Revere,Multi,3084.0,1361.0,1291.0,802.0,132.0,
239036,2022-09-06,Suffolk,Revere,NH/PI,28.0,,,,,
239037,2022-09-06,Suffolk,Revere,White,28669.0,22457.0,20290.0,11850.0,2716.0,
239038,2022-09-06,Suffolk,Revere,Other/Unknown,,,,,,
239039,2022-09-06,Suffolk,Revere,Total,62186.0,60663.0,51105.0,23946.0,3899.0,
242064,2022-09-13,Suffolk,Revere,AI/AN,78.0,68.0,54.0,19.0,3.0,
242065,2022-09-13,Suffolk,Revere,Asian,3539.0,3145.0,2719.0,1603.0,175.0,
242066,2022-09-13,Suffolk,Revere,Black,3732.0,2577.0,2248.0,1105.0,114.0,
242067,2022-09-13,Suffolk,Revere,Hispanic,23057.0,20894.0,17689.0,7718.0,712.0,
242068,2022-09-13,Suffolk,Revere,Multi,3084.0,1367.0,1297.0,805.0,140.0,
242069,2022-09-13,Suffolk,Revere,NH/PI,28.0,,,,,
242070,2022-09-13,Suffolk,Revere,White,28669.0,22473.0,20328.0,11888.0,2821.0,
242071,2022-09-13,Suffolk,Revere,Other/Unknown,,,,,,
242072,2022-09-13,Suffolk,Revere,Total,62186.0,60557.0,51156.0,24075.0,4040.0,
245097,2022-09-20,Suffolk,Revere,AI/AN,78.0,67.0,54.0,19.0,3.0,
245098,2022-09-20,Suffolk,Revere,Asian,3539.0,3148.0,2720.0,1612.0,185.0,
245099,2022-09-20,Suffolk,Revere,Black,3732.0,2575.0,2254.0,1112.0,122.0,
245100,2022-09-20,Suffolk,Revere,Hispanic,23057.0,20830.0,17748.0,7809.0,751.0,
245101,2022-09-20,Suffolk,Revere,Multi,3084.0,1380.0,1312.0,820.0,156.0,
245102,2022-09-20,Suffolk,Revere,NH/PI,28.0,,,,,
245103,2022-09-20,Suffolk,Revere,White,28669.0,22459.0,20345.0,11940.0,2935.0,
245104,2022-09-20,Suffolk,Revere,Other/Unknown,,,,,,
245105,2022-09-20,Suffolk,Revere,Total,62186.0,60414.0,51266.0,24265.0,4234.0,
248130,2022-09-27,Suffolk,Revere,AI/AN,78.0,69.0,55.0,19.0,3.0,
248131,2022-09-27,Suffolk,Revere,Asian,3539.0,3156.0,2727.0,1623.0,213.0,
248132,2022-09-27,Suffolk,Revere,Black,3732.0,2581.0,2258.0,1119.0,135.0,
248133,2022-09-27,Suffolk,Revere,Hispanic,23057.0,20874.0,17776.0,7862.0,826.0,
248134,2022-09-27,Suffolk,Revere,Multi,3084.0,1383.0,1314.0,825.0,171.0,
248135,2022-09-27,Suffolk,Revere,NH/PI,28.0,,,,,
248136,2022-09-27,Suffolk,Revere,White,28669.0,22486.0,20356.0,11998.0,3103.0,
248137,2022-09-27,Suffolk,Revere,Other/Unknown,,,,,,
248138,2022-09-27,Suffolk,Revere,Total,62186.0,60537.0,51324.0,24410.0,4539.0,
251163,2022-10-04,Suffolk,Revere,AI/AN,78.0,68.0,53.0,17.0,3.0,
251164,2022-10-04,Suffolk,Revere,Asian,3539.0,3161.0,2733.0,1632.0,235.0,
251165,2022-10-04,Suffolk,Revere,Black,3732.0,2581.0,2259.0,1126.0,149.0,
251166,2022-10-04,Suffolk,Revere,Hispanic,23057.0,20915.0,17802.0,7919.0,927.0,
251167,2022-10-04,Suffolk,Revere,Multi,3084.0,1395.0,1325.0,838.0,190.0,
251168,2022-10-04,Suffolk,Revere,NH/PI,28.0,,,,,
251169,2022-10-04,Suffolk,Revere,White,28669.0,22525.0,20384.0,12035.0,3294.0,
251170,2022-10-04,Suffolk,Revere,Other/Unknown,,,,,,
251171,2022-10-04,Suffolk,Revere,Total,62186.0,55672.0,47999.0,24531.0,4894.0,
