,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
23159,2021-05-11,Suffolk,Revere,50-64 Years,12184.0,8498.0,6748.0,,,1750.0
23160,2021-05-11,Suffolk,Revere,65-74 Years,5047.0,4004.0,3559.0,,,445.0
23161,2021-05-11,Suffolk,Revere,75+ Years,4312.0,3020.0,2608.0,,,412.0
23162,2021-05-11,Suffolk,Revere,Total,60849.0,33135.0,24559.0,,,8576.0
25790,2021-05-18,Suffolk,Revere,12-15 Years,2613.0,338.0,,,,338.0
25791,2021-05-18,Suffolk,Revere,16-19 Years,2844.0,1447.0,758.0,,,689.0
25792,2021-05-18,Suffolk,Revere,20-29 Years,8303.0,5015.0,3346.0,,,1669.0
25793,2021-05-18,Suffolk,Revere,30-49 Years,17705.0,12304.0,9006.0,,,3298.0
25794,2021-05-18,Suffolk,Revere,50-64 Years,12184.0,8790.0,7171.0,,,1619.0
25795,2021-05-18,Suffolk,Revere,65-74 Years,5047.0,4037.0,3610.0,,,427.0
25796,2021-05-18,Suffolk,Revere,75+ Years,4312.0,3043.0,2625.0,,,418.0
25797,2021-05-18,Suffolk,Revere,Total,60849.0,34974.0,,,,8458.0
28478,2021-05-25,Suffolk,Revere,12-15 Years,2613.0,704.0,,,,704.0
28479,2021-05-25,Suffolk,Revere,16-19 Years,2844.0,1590.0,978.0,,,612.0
28480,2021-05-25,Suffolk,Revere,20-29 Years,8303.0,5304.0,3825.0,,,1479.0
28481,2021-05-25,Suffolk,Revere,30-49 Years,17705.0,12908.0,9994.0,,,2914.0
28482,2021-05-25,Suffolk,Revere,50-64 Years,12184.0,9018.0,7614.0,,,1404.0
28483,2021-05-25,Suffolk,Revere,65-74 Years,5047.0,4085.0,3685.0,,,400.0
28484,2021-05-25,Suffolk,Revere,75+ Years,4312.0,3063.0,2657.0,,,406.0
28485,2021-05-25,Suffolk,Revere,Total,60849.0,36672.0,,,,7919.0
31174,2021-06-01,Suffolk,Revere,12-15 Years,2613.0,1026.0,,,,1026.0
31175,2021-06-01,Suffolk,Revere,16-19 Years,2844.0,1688.0,1158.0,,,530.0
31176,2021-06-01,Suffolk,Revere,20-29 Years,8303.0,5540.0,4261.0,,,1279.0
31177,2021-06-01,Suffolk,Revere,30-49 Years,17705.0,13265.0,10819.0,,,2446.0
31178,2021-06-01,Suffolk,Revere,50-64 Years,12184.0,9185.0,7960.0,,,1225.0
31179,2021-06-01,Suffolk,Revere,65-74 Years,5047.0,4118.0,3755.0,,,363.0
31180,2021-06-01,Suffolk,Revere,75+ Years,4312.0,3071.0,2681.0,,,390.0
31181,2021-06-01,Suffolk,Revere,Total,60849.0,37893.0,,,,7259.0
33870,2021-06-08,Suffolk,Revere,12-15 Years,2613.0,1185.0,294.0,,,891.0
33871,2021-06-08,Suffolk,Revere,16-19 Years,2844.0,1788.0,1318.0,,,470.0
33872,2021-06-08,Suffolk,Revere,20-29 Years,8303.0,5786.0,4625.0,,,1161.0
33873,2021-06-08,Suffolk,Revere,30-49 Years,17705.0,13697.0,11491.0,,,2206.0
33874,2021-06-08,Suffolk,Revere,50-64 Years,12184.0,9330.0,8232.0,,,1098.0
33875,2021-06-08,Suffolk,Revere,65-74 Years,5047.0,4151.0,3796.0,,,355.0
33876,2021-06-08,Suffolk,Revere,75+ Years,4312.0,3082.0,2697.0,,,385.0
33877,2021-06-08,Suffolk,Revere,Total,60849.0,39019.0,32453.0,,,6566.0
36566,2021-06-15,Suffolk,Revere,12-15 Years,2613.0,1305.0,655.0,,,650.0
36567,2021-06-15,Suffolk,Revere,16-19 Years,2844.0,1845.0,1437.0,,,408.0
36568,2021-06-15,Suffolk,Revere,20-29 Years,8303.0,5948.0,4871.0,,,1077.0
36569,2021-06-15,Suffolk,Revere,30-49 Years,17705.0,13967.0,12007.0,,,1960.0
36570,2021-06-15,Suffolk,Revere,50-64 Years,12184.0,9412.0,8403.0,,,1009.0
36571,2021-06-15,Suffolk,Revere,65-74 Years,5047.0,4171.0,3837.0,,,334.0
36572,2021-06-15,Suffolk,Revere,75+ Years,4312.0,3090.0,2708.0,,,382.0
36573,2021-06-15,Suffolk,Revere,Total,60849.0,39738.0,33918.0,,,5820.0
39262,2021-06-22,Suffolk,Revere,12-15 Years,2613.0,1398.0,978.0,,,420.0
39263,2021-06-22,Suffolk,Revere,16-19 Years,2844.0,1898.0,1526.0,,,372.0
39264,2021-06-22,Suffolk,Revere,20-29 Years,8303.0,6073.0,5065.0,,,1008.0
39265,2021-06-22,Suffolk,Revere,30-49 Years,17705.0,14228.0,12379.0,,,1849.0
